Date,Open,High,Low,Close,Volume
1997-05-15,0.0,2.5,1.93,1.96,72228204
1997-05-16,0.0,1.98,1.71,1.73,14714796
1997-05-19,0.0,1.77,1.62,1.71,6113004
1997-05-20,0.0,1.75,1.63,1.63,5472600
1997-05-21,0.0,1.64,1.37,1.43,18872004
1997-05-22,0.0,1.45,1.31,1.39,11685204
1997-05-23,0.0,1.52,1.33,1.5,15953196
1997-05-27,0.0,1.64,1.46,1.58,8706396
1997-05-28,0.0,1.63,1.53,1.53,4578996
1997-05-29,0.0,1.54,1.48,1.5,3476196
1997-05-30,0.0,1.51,1.48,1.5,2597004
1997-06-02,0.0,1.53,1.5,1.51,592200
1997-06-03,0.0,1.53,1.48,1.48,1184400
1997-06-04,0.0,1.49,1.39,1.42,3083400
1997-06-05,0.0,1.54,1.37,1.54,5678004
1997-06-06,0.0,1.71,1.51,1.65,7815000
1997-06-09,0.0,1.71,1.65,1.69,2354400
1997-06-10,0.0,1.71,1.53,1.58,5464200
1997-06-11,0.0,1.6,1.53,1.54,1189200
1997-06-12,0.0,1.64,1.55,1.6,1633596
1997-06-13,0.0,1.62,1.58,1.58,694200
1997-06-16,0.0,1.6,1.56,1.57,914196
1997-06-17,0.0,1.6,1.49,1.5,4711200
1997-06-18,0.0,1.54,1.5,1.51,2467200
1997-06-19,0.0,1.53,1.5,1.51,1004196
1997-06-20,0.0,1.55,1.5,1.52,3390996
1997-06-23,0.0,1.54,1.48,1.5,1048596
1997-06-24,0.0,1.52,1.48,1.51,752004
1997-06-25,0.0,1.52,1.49,1.51,2108196
1997-06-26,0.0,1.52,1.5,1.51,3192804
1997-06-27,0.0,1.51,1.48,1.49,1189200
1997-06-30,0.0,1.6,1.48,1.54,2749596
1997-07-01,0.0,1.54,1.51,1.51,1293600
1997-07-02,0.0,1.59,1.51,1.59,3885804
1997-07-03,0.0,1.91,1.59,1.91,12589800
1997-07-07,0.0,2.02,1.83,2.0,8061204
1997-07-08,0.0,2.33,2.04,2.3,15532800
1997-07-09,0.0,2.38,2.27,2.32,8270196
1997-07-10,0.0,2.57,2.33,2.56,9060600
1997-07-11,0.0,2.52,2.21,2.29,10541796
1997-07-14,0.0,2.33,2.11,2.13,4608996
1997-07-15,0.0,2.48,2.13,2.44,9273204
1997-07-16,0.0,2.49,2.3,2.33,3048600
1997-07-17,0.0,2.34,2.15,2.22,3172404
1997-07-18,0.0,2.22,2.15,2.15,780804
1997-07-21,0.0,2.2,2.14,2.18,575400
1997-07-22,0.0,2.19,2.06,2.13,1565196
1997-07-23,0.0,2.33,2.17,2.29,3262404
1997-07-24,0.0,2.31,2.22,2.26,1218000
1997-07-25,0.0,2.25,2.22,2.23,621000
1997-07-28,0.0,2.39,2.22,2.32,2576604
1997-07-29,0.0,2.5,2.33,2.48,4819200
1997-07-30,0.0,2.5,2.42,2.45,2520204
1997-07-31,0.0,2.44,2.33,2.39,1455804
1997-08-01,0.0,2.41,2.25,2.41,3591600
1997-08-04,0.0,2.41,2.3,2.31,2673804
1997-08-05,0.0,2.33,2.14,2.21,3035400
1997-08-06,0.0,2.31,2.19,2.25,1244400
1997-08-07,0.0,2.26,2.12,2.17,2034804
1997-08-08,0.0,2.3,2.1,2.29,2213796
1997-08-11,0.0,2.33,2.25,2.33,1240800
1997-08-12,0.0,2.3,2.2,2.2,571800
1997-08-13,0.0,2.23,2.16,2.2,591000
1997-08-14,0.0,2.25,2.12,2.15,1042596
1997-08-15,0.0,2.15,1.94,2.11,1598796
1997-08-18,0.0,2.05,1.97,2.04,1786200
1997-08-19,0.0,2.21,2.05,2.16,1004196
1997-08-20,0.0,2.19,2.07,2.16,995796
1997-08-21,0.0,2.17,2.07,2.11,624600
1997-08-22,0.0,2.12,2.09,2.12,713604
