Date,Open,High,Low,Close,Volume
2002-04-12,12.08,12.15,12.0,12.06,622500
2002-04-15,12.05,12.05,11.87,11.92,317000
2002-04-16,11.94,12.1,11.9,12.06,248250
2002-04-17,12.06,12.06,11.98,12.04,254500
2002-04-18,12.14,12.21,12.06,12.13,582500
2002-04-19,12.16,12.29,12.14,12.21,272000
2002-04-22,12.23,12.55,12.23,12.51,478250
2002-04-23,12.54,12.54,12.22,12.31,604500
2002-04-24,12.31,12.43,12.3,12.4,376250
2002-04-25,12.38,12.46,12.32,12.4,426250
2002-04-26,12.4,12.4,12.3,12.31,160000
2002-04-29,12.29,12.4,12.28,12.34,337500
2002-04-30,12.36,12.66,12.36,12.58,462500
2002-05-01,12.56,12.8,12.48,12.72,321250
2002-05-02,12.68,12.89,12.66,12.81,693750
2002-05-03,12.78,12.78,12.63,12.72,372500
2002-05-06,12.76,12.86,12.76,12.8,488750
2002-05-07,12.77,12.87,12.69,12.7,333750
2002-05-08,12.66,12.67,12.48,12.64,603250
2002-05-09,12.65,12.66,12.53,12.57,445000
2002-05-10,12.59,12.59,12.42,12.5,368750
2002-05-13,12.5,12.56,12.49,12.54,332000
2002-05-14,12.58,12.67,12.55,12.55,674500
2002-05-15,12.55,12.75,12.55,12.65,317500
2002-05-16,12.69,12.83,12.69,12.74,427000
2002-05-17,12.72,12.78,12.64,12.74,444500
2002-05-20,12.74,12.74,12.58,12.59,242000
2002-05-21,12.61,12.64,12.52,12.54,203250
2002-05-22,12.52,12.62,12.42,12.59,628750
2002-05-23,12.59,12.59,12.26,12.32,760750
2002-05-24,12.34,12.38,12.28,12.29,591250
2002-05-28,12.3,12.3,12.08,12.12,263250
2002-05-29,12.09,12.34,12.09,12.32,474500
2002-05-30,12.32,12.58,12.3,12.45,592500
2002-05-31,12.46,12.74,12.44,12.59,391250
2002-06-03,12.61,12.7,12.46,12.5,418750
2002-06-04,12.41,12.52,12.37,12.49,360750
2002-06-05,12.45,12.54,12.39,12.54,427000
